review_id,tanggal,review,clean_text,nama_produk,variasi_produk,link_gambar,file_gambar,rating,sentiment,sentiment_numeric
R000345,2024-01-01,"awalnya ragu sekali, ga tau ny mau beli lagi.. 
Jaketnya sesuai deskriosi, foto dan video, trims..",ragu tau beli jaket sesuai deskriosi foto video trims,Jaket Bomber Ribsgold Series,Varian: BomberBlack - M,Tidak ada gambar,R000345.jpg,5,Positive,1.0
AD000185,2024-07-01,Ukurannya pas,ukur pas,Aerostreet Chinos Panjang Elvano Abu Tua Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AD000185.jpg,5,Positive,1.0
F000488,2024-01-01,thanks from darell store,thanks from darell store,Hoodie Jumper Jaket Sweater Polos Unisex,Varian: Navy,Tidak ada gambar,F000488.jpg,5,Positive,1.0
P000033,2025-03-12,"Gak sesuai sama vidio
Kain tipis terus lembek juga 
Kerah nya gak bagus gak nyaman juga
Mana beli 2 lagi",gak sesuai vidio kain tipis lembek kerah nya gak bagus gak nyaman beli,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Hitam - XXL,Tidak ada gambar,P000033.jpg,2,Negative,0.0
P000119,2025-03-08,Kainnya jelek,kain jelek,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Hitam - XL,Tidak ada gambar,P000119.jpg,1,Negative,0.0
A000362,2024-01-01,"pembelian kedua, selalu okeeee",beli okeeee,KAOS POLOS WANITA COTTON COMBED 30S BAJU KAOS POLOS CEWEK SIZE XS - XL,Varian: M,Ada gambar,A000362.jpg,5,Positive,1.0
AK000069,2025-02-01,"Kecil bgt ,tipis mulur,harga bawa rupa",bgt tipis mulurharga bawa rupa,(PART 1) Square Neck Short Sleeve Shirt Blouse #2900,Varian: Hitam - S,Tidak ada gambar,AK000069.jpg,1,Negative,0.0
C000257,2025-03-09,bahan nyaman dipakai,bahan nyaman pakai,COZYCLUB Long Sleeve Linen Shirt | Kemeja Pria Kerah Lengan Panjang Baju Dark Grey Beige,Varian: Dark Grey - XL,Tidak ada gambar,C000257.jpg,5,Positive,1.0
AZ000095,2025-03-08,Bahan jelek gak sesuai deskripsi,bahan jelek gak sesuai deskripsi,RANIA ONE SET-Setelan celana dan atasan katun toyobo anak usia 0-10 tahun,Varian: Rania Burgundy - S,Tidak ada gambar,AZ000095.jpg,1,Negative,0.0
N000010,2025-03-15,Tipis banget. G kaya di model,tipis banget kaya model,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Putih - All Size,Tidak ada gambar,N000010.jpg,2,Negative,0.0
AB000410,2024-01-01,"Ukurannya pas (170cm/80kg), bahan dan jahitan berkualitas, bagus dan nyaman dipakai. Next beli warna yang lain.",ukur pas cmkg bahan jahit kualitas bagus nyaman pakai next beli warna,Aerostreet Chinos Panjang Elvano Krem Celana Chino EAAAA,Varian: 36,Tidak ada gambar,AB000410.jpg,5,Positive,1.0
G000187,2024-09-01,"modelnya oke, cuman ada beberapa yg jahitannya keluar
but ITS okay, tinggal di bakar moga aja aman",model oke cuman jahit but its okay tinggal bakar moga aja aman,Celana Bahan Pria Kerja Formal - Laksa Kirana Slim Fit Pants,Varian: Hitam - 33,Tidak ada gambar,G000187.jpg,5,Positive,1.0
R000316,2024-01-01,"Sip, datang dengan selamat. Meskipun saya harus nunggu 2 minggu karena pelayanan pengiriman hemat dari SiCepat yang cukup buruk. Lain kali lebih baik saya pesan di aplika...",sip selamat nunggu minggu layan kirim hemat sicepat buruk kali pesan aplika,Jaket Bomber Ribsgold Series,Varian: BomberBlack - L,Tidak ada gambar,R000316.jpg,5,Positive,1.0
N000014,2025-03-01,"Barangnya murahan iya emang murah c tp ga sesuai sm yg di live
Kualitas produk: Biasa saja",barang murah iya emang murah sesuai live kualitas produk,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Milo - All Size,Tidak ada gambar,N000014.jpg,1,Negative,0.0
AR000025,2024-06-01,"Tidak sesuai pesanan 
Pesen hitam yg datang ungu",sesuai pesan sen hitam ungu,INNER KNIT PASTEL - LONG DRESS INNER,Varian: Hitam - allsize,Tidak ada gambar,AR000025.jpg,1,Negative,0.0
AF000035,2024-11-01,"bahan bagus, pas dipakai dan nyaman dikulit",bahan bagus pas pakai nyaman kulit,Aerostreet Chinos Panjang Elvano Hijau Army Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AF000035.jpg,5,Positive,1.0
N000048,2025-02-01,Baru di cuci kancaingnya copot semua,cuci kancaingnya copot,"Novie Baju Blouse Cringkle Atasan Wanita Lengan Panjang Katun Polos,Blouse Wanita Kekinian Airflow Muda Crinkle Oversize atasan tulle Nyaman atasan korea Linen",Varian: Mustrad - All Size,Tidak ada gambar,N000048.jpg,1,Negative,0.0
I000291,2024-01-01,Terima kasih,terima kasih,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Sport Grey - XL,Tidak ada gambar,I000291.jpg,5,Positive,1.0
Z000003,2025-02-01,apaan dah gambar gimmick,dah gambar gimmick,Aerostreet T Shirt Reguler Polos Gelap Kaos T-Shirt Tshirt KAAAA,Varian: Hitam - L,Ada gambar,Z000003.jpg,1,Negative,0.0
AZ000065,2025-03-08,Cuttingannya kurang rapih,cuttingannya rapih,RANIA ONE SET-Setelan celana dan atasan katun toyobo anak usia 0-10 tahun,Varian: Rania Cream - L,Tidak ada gambar,AZ000065.jpg,2,Negative,0.0
